entityID:ID,name,:LABEL
315,丁磊,Person
316,王观,Person
317,于文静,Person
318,佘颖,Person
319,林郑月娥,Person
320,詹彦,Person
321,陈雷,Person
322,近平,Person
323,耿爽,Person
324,王松,Person
325,尤权,Person
326,梁振英,Person
327,武威,Person
328,阮富仲,Person
329,潘昱龙,Person
330,张春雷,Person
331,楼继伟,Person
332,勒德里昂,Person
333,王浩,Person
334,周强,Person
335,张斌,Person
336,马军胜,Person
337,李明,Person
338,白明,Person
339,游钧,Person
340,陈希,Person
341,曹建明,Person
342,万鄂湘,Person
343,郑明达,Person
344,巴斯夫,Person
345,吕特,Person
346,程虹,Person
347,赵辰昕,Person
348,刘华,Person
349,李小鹏,Person
350,田世宏,Person
351,刘磊,Person
352,陈吉宁,Person
353,温敏,Person
354,张建龙,Person
355,蒂尔,Person
356,张龙,Person
357,王文,Person
358,翁杰明,Person
359,董峻,Person
360,刘小明,Person
361,鲍里索夫,Person
362,梅世雄,Person
363,马塔雷拉,Person
364,江文耀,Person
365,蔡自力,Person
366,张泉,Person
367,姆努钦,Person
368,吴勇兵,Person
369,CEO,Person
370,陈建力,Person
371,赵玉国,Person
372,陆慷,Person
373,思琮,Person
374,文在寅,Person
375,张庆黎,Person
376,付凌晖,Person
377,丁仲礼,Person
378,郝明金,Person
379,恩格斯,Person
380,王志刚,Person
381,朱超,Person
382,李延霞,Person
383,黄明,Person
384,佳欣,Person
385,莫荣,Person
386,卢汉欣,Person
387,马正其,Person
388,萨金塔,Person
389,刘彬,Person
390,欧阳洁,Person
391,侯丽军,Person
392,胡喆,Person
393,巴特图勒嘎,Person
394,吉炳轩,Person
395,耿玉,Person
396,张春贤,Person
397,蔡达峰,Person
398,霍小光,Person
399,贺一诚,Person
400,齐慧,Person
401,王贺胜,Person
402,帕夫洛普洛斯,Person
403,金墉,Person
404,格奥尔基,Person
405,桑纳尔,Person
406,孔特,Person
407,潘建伟,Person
408,巴雷拉,Person
409,武维华,Person
410,何厚铧,Person
411,张建平,Person
412,范一飞,Person
413,立春,Person
414,朱峥,Person
415,徐晓蕾,Person
416,利奇马,Person
417,刘士余,Person
418,于佳欣,Person
419,史耀斌,Person
420,格环比,Person
421,刘学智,Person
422,费利佩,Person
423,郑万高铁,Person
424,郝群英,Person
425,库钦斯基斯,Person
426,古里亚,Person
427,埃博拉,Person
428,魏玉坤,Person
429,王立彬,Person
430,张翼,Person
431,马飚,Person
432,刘伟,Person
433,胡锦涛,Person
434,王兆星,Person
435,严鹏程,Person
436,胡怡建,Person
437,支树平,Person
438,王雨萧,Person
439,苗华,Person
440,王斌,Person
441,陈聪,Person
442,卡加梅,Person
443,琚振华,Person
444,特雷莎,Person
445,赵超,Person
446,王东明,Person
447,高云才,Person
448,何平,Person
449,菲利普,Person
450,致公党,Department
451,陈泽国,Person
452,于康震,Person
453,曲哲涵,Person
454,梅常伟,Person
455,王正,Person
456,麦肯锡,Person
457,沈丹阳,Person
458,周雷,Person
459,姚进,Person
460,克难,Person
461,杨晓渡,Person
462,侯雪静,Person
463,王正伟,Person
464,陈晓光,Person
465,马晓伟,Person
466,杨晨光,Person
467,张义珍,Person
468,潘丽君,Person
469,王炳南,Person
470,钟南山,Person
471,阮健弘,Person
472,吴佳佳,Person
