:START_ID,weight:float,:END_ID,:TYPE
76,31.5,0,CO_OCCUR_WITH
0,25.5,77,CO_OCCUR_WITH
77,25.5,0,CO_OCCUR_WITH
0,21.0,78,CO_OCCUR_WITH
78,21.0,0,CO_OCCUR_WITH
0,28.0,79,CO_OCCUR_WITH
79,28.0,0,CO_OCCUR_WITH
0,32.5,80,CO_OCCUR_WITH
80,32.5,0,CO_OCCUR_WITH
0,2.5,81,CO_OCCUR_WITH
81,2.5,0,CO_OCCUR_WITH
0,33.0,82,CO_OCCUR_WITH
82,33.0,0,CO_OCCUR_WITH
0,34.5,83,CO_OCCUR_WITH
83,34.5,0,CO_OCCUR_WITH
0,27.5,84,CO_OCCUR_WITH
84,27.5,0,CO_OCCUR_WITH
0,37.0,85,CO_OCCUR_WITH
85,37.0,0,CO_OCCUR_WITH
0,19.0,86,CO_OCCUR_WITH
86,19.0,0,CO_OCCUR_WITH
0,20.0,87,CO_OCCUR_WITH
87,20.0,0,CO_OCCUR_WITH
0,44.5,88,CO_OCCUR_WITH
88,44.5,0,CO_OCCUR_WITH
0,28.0,89,CO_OCCUR_WITH
89,28.0,0,CO_OCCUR_WITH
0,27.5,90,CO_OCCUR_WITH
90,27.5,0,CO_OCCUR_WITH
0,35.5,91,CO_OCCUR_WITH
91,35.5,0,CO_OCCUR_WITH
0,33.0,92,CO_OCCUR_WITH
92,33.0,0,CO_OCCUR_WITH
0,14.0,93,CO_OCCUR_WITH
93,14.0,0,CO_OCCUR_WITH
0,23.5,94,CO_OCCUR_WITH
94,23.5,0,CO_OCCUR_WITH
0,22.5,95,CO_OCCUR_WITH
95,22.5,0,CO_OCCUR_WITH
0,42.5,96,CO_OCCUR_WITH
96,42.5,0,CO_OCCUR_WITH
0,18.0,97,CO_OCCUR_WITH
97,18.0,0,CO_OCCUR_WITH
0,14.0,98,CO_OCCUR_WITH
98,14.0,0,CO_OCCUR_WITH
0,99.0,99,CO_OCCUR_WITH
99,99.0,0,CO_OCCUR_WITH
0,32.0,100,CO_OCCUR_WITH
100,32.0,0,CO_OCCUR_WITH
0,24.5,101,CO_OCCUR_WITH
101,24.5,0,CO_OCCUR_WITH
0,96.0,102,CO_OCCUR_WITH
102,96.0,0,CO_OCCUR_WITH
0,23.5,103,CO_OCCUR_WITH
103,23.5,0,CO_OCCUR_WITH
0,23.0,104,CO_OCCUR_WITH
104,23.0,0,CO_OCCUR_WITH
0,42.5,105,CO_OCCUR_WITH
105,42.5,0,CO_OCCUR_WITH
0,26.5,106,CO_OCCUR_WITH
106,26.5,0,CO_OCCUR_WITH
0,21.0,107,CO_OCCUR_WITH
107,21.0,0,CO_OCCUR_WITH
0,24.0,108,CO_OCCUR_WITH
108,24.0,0,CO_OCCUR_WITH
0,37.5,109,CO_OCCUR_WITH
109,37.5,0,CO_OCCUR_WITH
0,24.5,110,CO_OCCUR_WITH
110,24.5,0,CO_OCCUR_WITH
0,2.5,111,CO_OCCUR_WITH
111,2.5,0,CO_OCCUR_WITH
0,49.0,112,CO_OCCUR_WITH
112,49.0,0,CO_OCCUR_WITH
0,71.0,113,CO_OCCUR_WITH
113,71.0,0,CO_OCCUR_WITH
0,10.0,114,CO_OCCUR_WITH
114,10.0,0,CO_OCCUR_WITH
0,31.5,115,CO_OCCUR_WITH
115,31.5,0,CO_OCCUR_WITH
0,20.0,116,CO_OCCUR_WITH
116,20.0,0,CO_OCCUR_WITH
0,26.5,117,CO_OCCUR_WITH
117,26.5,0,CO_OCCUR_WITH
0,19.0,118,CO_OCCUR_WITH
118,19.0,0,CO_OCCUR_WITH
0,21.0,119,CO_OCCUR_WITH
119,21.0,0,CO_OCCUR_WITH
0,19.0,120,CO_OCCUR_WITH
120,19.0,0,CO_OCCUR_WITH
0,24.0,121,CO_OCCUR_WITH
121,24.0,0,CO_OCCUR_WITH
0,20.0,122,CO_OCCUR_WITH
122,20.0,0,CO_OCCUR_WITH
0,3.0,123,CO_OCCUR_WITH
123,3.0,0,CO_OCCUR_WITH
0,25.0,124,CO_OCCUR_WITH
124,25.0,0,CO_OCCUR_WITH
0,22.5,125,CO_OCCUR_WITH
125,22.5,0,CO_OCCUR_WITH
0,27.5,126,CO_OCCUR_WITH
126,27.5,0,CO_OCCUR_WITH
0,62.0,127,CO_OCCUR_WITH
127,62.0,0,CO_OCCUR_WITH
0,21.5,128,CO_OCCUR_WITH
128,21.5,0,CO_OCCUR_WITH
0,26.0,129,CO_OCCUR_WITH
129,26.0,0,CO_OCCUR_WITH
0,28.5,130,CO_OCCUR_WITH
130,28.5,0,CO_OCCUR_WITH
0,16.0,131,CO_OCCUR_WITH
131,16.0,0,CO_OCCUR_WITH
0,10.0,132,CO_OCCUR_WITH
132,10.0,0,CO_OCCUR_WITH
0,42.5,133,CO_OCCUR_WITH
133,42.5,0,CO_OCCUR_WITH
0,8.0,134,CO_OCCUR_WITH
134,8.0,0,CO_OCCUR_WITH
0,1.5,135,CO_OCCUR_WITH
135,1.5,0,CO_OCCUR_WITH
0,19.0,136,CO_OCCUR_WITH
136,19.0,0,CO_OCCUR_WITH
0,59.0,137,CO_OCCUR_WITH
137,59.0,0,CO_OCCUR_WITH
0,21.5,138,CO_OCCUR_WITH
138,21.5,0,CO_OCCUR_WITH
0,22.5,139,CO_OCCUR_WITH
139,22.5,0,CO_OCCUR_WITH
0,31.5,140,CO_OCCUR_WITH
140,31.5,0,CO_OCCUR_WITH
0,29.0,141,CO_OCCUR_WITH
141,29.0,0,CO_OCCUR_WITH
0,2.5,142,CO_OCCUR_WITH
142,2.5,0,CO_OCCUR_WITH
0,14.0,143,CO_OCCUR_WITH
143,14.0,0,CO_OCCUR_WITH
